,ventas_precios_corrientes,canales_on_line,ventas_totales_grupo_articulos,almacen
0,27858.9,267141.956,27858872.08289,6705475.31777
1,25994.2,245020.769,25994200.16707,6576624.802559999
2,27780.0,307777.804,27780006.52225002,7437264.1736
3,29134.3,306792.733,29134272.21961001,8211244.092969999
4,27969.0,399693.262,27969004.676939998,7651058.083627701
5,29132.7,368847.326,29132712.7446,7911936.244780002
6,31182.3,366990.683,31182302.456590004,8482567.662069999
7,31154.9,391525.052,31154880.943740003,8275620.179699998
8,30521.5,385910.498,30521506.19527,8319868.332199998
9,32446.0,465759.10129,32445983.01393,8323912.5433100015
10,33629.0,506594.70549,33628982.657100014,8282231.901499999
11,40766.3,446036.8247,40766322.1043,9667850.14748
12,32479.2,376100.1495799999,32479208.00556999,7836896.413670002
13,31736.8,379379.71864,31736824.55214,7699395.38065
14,36531.3,475878.27403,36531291.32867001,9795952.073229998
15,34113.7,491474.68862,34113745.66680001,8945426.33082
16,35133.1,725754.7976899999,35133146.39128,9171763.80268
17,38338.2,593413.63629,38338209.74565996,10197523.387209998
18,39278.4,581799.0561899999,39278449.96263997,10941910.27776
19,39491.9,639204.78984,39491907.27419998,10804194.908603404
20,39925.5,612546.82257,39925548.99754999,11194772.656069998
21,43420.3,773767.1168,43420253.82247999,11730986.055639995
22,44849.4,772485.21409,44849446.00603998,11863636.204099998
23,57204.0,751599.44123,57203955.86361999,14277710.694189996
24,45433.6,693048.47043,45433623.71206,11509132.278580002
25,44592.1,677957.8397799999,44592144.895340025,11400304.63475
26,51065.7,717911.5714899999,51065694.25465001,13664374.994759995
27,49621.4,681844.1039799999,49621409.27512004,14448162.663839998
28,50778.3,964446.87431,50778299.9144,14391198.41905
29,54413.4,821703.3616599999,54413419.61482,15319207.31488
30,55044.5,923140.63296,55044482.25732,15602920.26619
31,59672.1,1024177.97836,59672104.45567001,17125415.36678
32,57885.3,997476.22679,57885306.40686999,16428217.44194
33,66325.6,1180651.47825,66325579.59368,17942183.893732578
34,67943.7,1489506.4453500002,67943710.18743,17296630.38648
35,83524.6,1278463.61382,83524644.2915,20776781.416310005
36,70145.0,1040882.66074,70145010.27273001,17489114.37861
37,72494.4,980258.51473,72494433.66173999,18718680.52182
38,85778.0,1603155.57539,85778031.08881997,26179704.492430013
39,75009.6,3210641.9290200006,75009596.63855001,23511297.2349
40,78594.5,3627916.794580001,78594521.82045001,22865786.66969
41,78232.9,3678005.64307,78232859.60185996,22614018.901165
42,81140.7,4726974.45707,81140696.22145997,23393038.40763
43,80412.0,4005445.0164,80411973.28758001,22891446.99915
44,77055.8,3944359.19539,77055774.35700998,22018485.44868
45,89224.3,4601678.305080001,89224281.05372998,23772929.5845
46,91093.5,4838176.70645,91093507.31223996,23577259.62193001
47,115806.1,3975909.55075,115806128.11518,29052388.41279859
48,98007.6,3483037.9868500005,98007583.25283,24393220.467840005
49,92954.2,3046180.66555,92954233.68111998,23633068.01465
50,107225.9,3982669.19388,107225884.48978,29069610.328839995
51,106870.2,4128007.24374,106870185.88608997,29827096.111789003
52,110604.7,5607036.33009,110604694.56479998,31328427.63126999
53,116287.9,4810298.409969999,116287892.95615998,32622021.607925497
54,125658.6,4754454.214929999,125658552.53241004,34683058.37417
55,124840.3,4658789.019680001,124840319.9624,34500426.752009995
56,123002.3,4416780.258529999,123002252.42976004,34298836.964778006
57,140487.5,4486843.91995,140487487.26625,37081602.26249
58,141702.0,5751181.80928,141701960.658653,36354580.021517
59,183983.2,5116430.63427,183983151.87992013,45199914.72278298
60,154517.1,4819479.553599999,154517094.1819681,37505172.62385601
61,152202.6,3796044.07646,152202573.39011797,38209790.618461005
62,168982.5,4661394.998140001,168982502.27879015,45418860.16169
63,177148.1,4144283.743260001,177148082.8202,49991675.91444399
64,179639.2,4280751.112880001,179639238.64318994,50150351.46048001
