,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
35,2019-12-01,83524.6,29147.9,83524644.2915,82246180.67768,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096,2859088.143929999,83524644.2915,57646427.95771201,13299621.47915,20776781.416310005,2985037.699810002,7985919.655520001,8877286.116901997,2838731.6731,883049.9169199999,11316019.2713,2197595.46859,4638017.9133,7726583.6806000015
36,2020-01-01,70145.0,23483.3,70145010.27273001,69104127.61199,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897,2322351.55719,70145010.27273001,47496667.89030299,8727149.3132,17489114.37861,2513045.890880001,7612363.147730001,7726181.492612999,2685147.6436800007,743666.02359,11066696.534919998,1775180.1644500005,3768285.2241500006,6038180.458899999
37,2020-02-01,72494.4,23702.0,72494433.66173999,71514175.14700998,980258.51473,72494433.66173999,23982883.637197025,18677850.857655,27241035.986255,2592663.180630001,72494433.66173999,50272765.35498399,8876881.393719997,18718680.52182,2642994.22275,8169113.796009998,8316318.598123997,2778662.8211,770114.00146,10866053.98348,1867271.73628,3407081.4500799994,6081261.13692
38,2020-03-01,85778.0,26996.7,85778031.08881997,84174875.51342997,1603155.57539,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102,3107850.46284,85778031.08881997,61417479.251030006,8284935.992699997,26179704.492430013,2954223.17475,10540220.755719995,9503388.95934,3248772.9431,706232.9329899999,14387138.382410005,1048525.3074200004,3460494.399360001,5464393.7486000005
39,2020-04-01,75009.6,23142.7,75009596.63855001,71798954.70953001,3210641.9290200006,75009596.63855001,22263621.147818018,20850415.685067005,28559526.139535,3336033.66613,75009596.63855001,54905216.88272,7039345.747440001,23511297.2349,2723790.46888,9518952.156040002,8667536.044389999,2981509.854250001,462785.37682,10786534.82835,1071185.0036599997,3758966.100660001,4487693.823164
40,2020-05-01,78594.5,24012.7,78594521.82045001,74966605.02587001,3627916.794580001,78594521.82045001,24917663.39341,19703362.398560006,29750672.202390008,4222823.82609,78594521.82045001,54285024.123542,7437048.0772899985,22865786.66969,2588780.474071,9450381.786705,8676036.988140002,2771794.5182680013,495195.6093780001,11160547.922520002,2199429.091541,5705563.4648400005,5243957.21801
41,2020-06-01,78232.9,23449.5,78232859.60185996,74554853.95878996,3678005.64307,78232859.60185996,24031410.143659983,20569940.21072799,29332592.0091,4298917.23837,78232859.60185996,53685318.328287005,7839895.91612,22614018.901165,2512756.0308870003,9239346.590983,8376343.244302001,2610763.0102969995,492194.634533,10828484.986999998,2556936.805372,5726204.1957,5435915.285497
42,2020-07-01,81140.7,23791.4,81140696.22145997,76413721.76438998,4726974.45707,81140696.22145997,24935747.285053004,22143208.629241403,29569224.40345899,4492515.9037,81140696.22145997,55359666.66118,8048539.859389999,23393038.40763,2630487.79101,9592798.11519,8463266.122629998,2712593.82773,518942.5376,11217153.18945,2502616.6185000003,6125265.83921,5935993.913120001
43,2020-08-01,80412.0,22953.0,80411973.28758001,76406528.27118002,4005445.0164,80411973.28758001,24868416.64602999,21188270.691566996,29644413.805833004,4710872.144150001,80411973.28758001,55526501.796220005,8262233.876840003,22891446.99915,2684429.992779999,9681663.0829,8611272.961890003,2842695.030080001,552759.8525800001,11365760.889539998,1651664.5783599997,5086198.951540001,6781847.07192
44,2020-09-01,77055.8,21628.0,77055774.35700998,73111415.16161998,3944359.19539,77055774.35700998,24268469.258773003,20660854.9840306,27583639.698399987,4542810.41581,77055774.35700998,53998395.65966,8164340.13614,22018485.44868,2574722.638589999,9349357.228209998,8411476.0623,2932524.2403599992,547489.9053800002,11089691.91519,1599708.8727499996,4776635.481509999,5591342.4279000005
